Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,0.1uF,
C5,0603,1,10uF,
C6,0603,1,22uF,
"D1, D2",0603,2,LED_yellow,
D3,0603,1,LED_red,
IC1,TSSOP-10_3x3mm_P0.5mm,1,~,
J1,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
"J2, J3",PinHeader_1x19_P2.54mm_Vertical,2,Conn_01x19,
"Q1, Q2",SC-59,2,Q_NPN_BEC,
"R1, R2, R3, R4",0603,4,10k,
"R5, R6, R7",0603,3,1k,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
U2,SOT-223,1,AZ1117CH-3_3TRG1,AZ1117CH-3.3TRG1
